#Label: Total Execution Time
#Unit: cycle
#Total: 368
#LineOp: sum
#ConcatOp: sum
#ContextOp: sum
#Description: Represents the total number of cycles the code takes during the execution of the worst case execution path.
#Time: 7.36 us
#WCET: 368 cycles
10	00000504	16	[]
10	00000514	20	[]
18	00000428	44	[FUN(00000504), CALL(00000510)]
66	000004dc	16	[FUN(00000504), CALL(00000510)]
9	000004ec	20	[FUN(00000504), CALL(00000510)]
135	00000454	44	[FUN(00000504), CALL(00000510)]
0	00000480	40	[FUN(00000504), CALL(00000510)]
85	000004a8	24	[FUN(00000504), CALL(00000510)]
35	000004c0	16	[FUN(00000504), CALL(00000510)]
0	000004d0	12	[FUN(00000504), CALL(00000510)]
