#Label: Total Execution Time
#Unit: cycle
#Total: 115791
#LineOp: sum
#ConcatOp: sum
#ContextOp: sum
#Description: Represents the total number of cycles the code takes during the execution of the worst case execution path.
#Time: 2.31582 ms
#WCET: 115791 cycles
29	000007ec	60	[]
44	00000828	92	[]
13	00000884	28	[]
31	000004cc	60	[FUN(000007ec), CALL(00000824)]
11	00000508	24	[FUN(000007ec), CALL(00000824)]
1288	000005c8	12	[FUN(000007ec), CALL(00000824)]
6	000005d4	12	[FUN(000007ec), CALL(00000824)]
0	000005e0	28	[FUN(000007ec), CALL(00000824)]
4	00000668	12	[FUN(000007ec), CALL(00000824)]
331	0000073c	16	[FUN(000007ec), CALL(00000824)]
6	0000074c	12	[FUN(000007ec), CALL(00000824)]
0	00000758	12	[FUN(000007ec), CALL(00000824)]
11	000007c4	20	[FUN(000007ec), CALL(00000824)]
39	00000764	96	[FUN(000007ec), CALL(00000824)]
320	00000674	12	[FUN(000007ec), CALL(00000824)]
1120	00000680	60	[FUN(000007ec), CALL(00000824)]
1440	000006e8	84	[FUN(000007ec), CALL(00000824)]
0	000006bc	44	[FUN(000007ec), CALL(00000824)]
8	000005fc	12	[FUN(000007ec), CALL(00000824)]
37	00000608	96	[FUN(000007ec), CALL(00000824)]
3840	00000520	32	[FUN(000007ec), CALL(00000824)]
15104	00000540	136	[FUN(000007ec), CALL(00000824)]
8448	00000410	88	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
14336	000004ac	12	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
2304	000004b8	20	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
16384	00000468	12	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
28672	00000474	32	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
18432	000004a0	12	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
0	00000494	12	[FUN(000007ec), CALL(00000824), FUN(000004cc), CALL(0000053c)]
31	000004cc	60	[FUN(000007ec), CALL(00000880)]
11	00000508	24	[FUN(000007ec), CALL(00000880)]
8	000005c8	12	[FUN(000007ec), CALL(00000880)]
6	000005d4	12	[FUN(000007ec), CALL(00000880)]
0	000005e0	28	[FUN(000007ec), CALL(00000880)]
4	00000668	12	[FUN(000007ec), CALL(00000880)]
347	0000073c	16	[FUN(000007ec), CALL(00000880)]
6	0000074c	12	[FUN(000007ec), CALL(00000880)]
0	00000758	12	[FUN(000007ec), CALL(00000880)]
11	000007c4	20	[FUN(000007ec), CALL(00000880)]
40	00000764	96	[FUN(000007ec), CALL(00000880)]
336	00000674	12	[FUN(000007ec), CALL(00000880)]
1176	00000680	60	[FUN(000007ec), CALL(00000880)]
1512	000006e8	84	[FUN(000007ec), CALL(00000880)]
0	000006bc	44	[FUN(000007ec), CALL(00000880)]
8	000005fc	12	[FUN(000007ec), CALL(00000880)]
37	00000608	96	[FUN(000007ec), CALL(00000880)]
0	00000520	32	[FUN(000007ec), CALL(00000880)]
0	00000540	136	[FUN(000007ec), CALL(00000880)]
0	00000410	88	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	000004ac	12	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	000004b8	20	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	00000468	12	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	00000474	32	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	000004a0	12	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
0	00000494	12	[FUN(000007ec), CALL(00000880), FUN(000004cc), CALL(0000053c)]
